ExtractDate,ServiceTypeLabel,GeoAreaURI,Postcode,GeoAreaLabel,AccessibleCategory,ReportEmail,ReportTel,UPRN,LocationText,ChangingPlace,GeoY,ChargeAmount,ManagedBy,Category,CoordinateReferenceSystem,OpeningHours,PartOfCommunityScheme,CommunitySchemeName,Street address,OrganisationURI,AutomaticPublicConvenience,FullTimeStaffing,InfoURL,GeoPointLicensingURL,RADARKeyNeeded,BabyChange,OrganisationLabel,FamilyToilet,Notes,ServiceTypeURI,GeoX
06/03/2015,Public toilets,,,,,,,10001240937,Sainsburys,,408530,,Sainsburys,,OSGB36,,Yes,storeloo,"Sainsburys Supermarket,  Trinity Street, Bolton, BL3 6DH",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.sainsburys.co.uk/sol/storelocator/storelocator_detail_view.jsp?storeId=2835&bmForm=store_details,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371658
06/03/2015,Public toilets,,,,,,,100012551670,Beales,,409269,,Beales,,OSGB36,,Yes,storeloo,"79-87 Deansgate, Bolton, BL1 1HE",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.beales.co.uk/t/bolton,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371556
06/03/2015,Public toilets,,,,,,,10070916514,Market Place,,409450,,Market Place,,OSGB36,,Yes,storeloo,"Public Conveniences,  The Market Place, Bolton, BL1 2AR",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.boltonmarketplace.com/,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371607
06/03/2015,Public toilets,,,,,,,10070917104,Crompton Place,,409204,,Crompton Place,,OSGB36,,Yes,storeloo,"Restrooms, Crompton Place,  Exchange Street, Bolton, BL1 1EA",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.crompton-place.co.uk/,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371715
06/03/2015,Public toilets,,,,,,,10070918160,Debenhams,,409510.05,,Debenhams,,OSGB36,,Yes,storeloo,"Car Park,  The Market Place, Bolton, BL1 2AL",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://mystore.debenhams.com/store/283-bolton,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371641.53
06/03/2015,Public toilets,,,,,,,10070918950,Marks and Spencer,,409297.71,,Marks and Spencer,,OSGB36,,Yes,storeloo,"35-43 Deansgate, Bolton, BL1 1HQ",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.marksandspencer.com/MSStoreDetailsView?SAPStoreId=0495&end=BOLTON&storePostcode=BL1%201HQ,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371723.29
06/03/2015,Public toilets,,,,,,,10070920079,Bolton Market,,408964,,Bolton Council,,OSGB36,,Yes,storeloo,"Market, Ashburner Street Market,  Ashburner Street, Bolton, BL1 1TQ",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.bolton.gov.uk/website/pages/BoltonMarket.aspx,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371456
06/03/2015,Public toilets,,,,,,,10070920617,Bolton Central Library on Le Mans Crescent,,409063,,Bolton Council,,OSGB36,,Yes,storeloo,"Bolton Library And Museum Services, Bolton Civic Centre,  Le Mans Crescent, Bolton, BL1 1SE",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.boltonlams.co.uk/plan-your-visit,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371540
06/03/2015,Public toilets,,,,,,,200001480773,The Town Hall One Stop Shop,,409157,,Bolton Council,,OSGB36,,Yes,storeloo,"Town Hall,  Victoria Square, Bolton, BL1 1RU",http://opendatacommunities.org/id/metropolitan-district-council/bolton,,,http://www.bolton.gov.uk/contactus/Pages/Dropin.aspx,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html ,,,Bolton,,,http://id.esd.org.uk/service/579,371575
