Publisher Label,Publisher URI,ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Angel Street,OSGB36,435610,387518,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Unisex,,true,true,false,false,true,,,,0.2,https://www.sheffield.gov.uk/in-your-area/toilets/angel-street.html,24 Hour,,,,Disabled access,,S3 8LN,Angel Street
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Birley Moor Road,OSGB36,439962,383733,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Unisex,,false,false,false,false,true,,,,0.1,https://www.sheffield.gov.uk/in-your-area/toilets/birley-moor-road.html,24 Hour,,,,,,S12 4WG,"Birley Moor Road Superloo, Birley Moor Road"
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Bolsterstone,OSGB36,427069,396892,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,,false,false,false,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/bolsterstone.html,09:00-17:00 (Longer in Summer),Stocksbridge Town Council,,,,,S36 2YY,Stonemoor Rd - Bolterstone
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Darnall,OSGB36,439352,387843,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Unisex,,,false,false,false,true,,,,0.1,https://www.sheffield.gov.uk/in-your-area/toilets/darnall.html,24 Hour,,,,,,S9,"Staniforth Road, Darnall"
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Deepcar,OSGB36,428923,397886,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Unisex,,,false,false,false,true,,,,0.1,https://www.sheffield.gov.uk/in-your-area/toilets/deepcar.html,24 Hour,,,,,,S35,"Manchester Road, Deepcar"
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Devonshire Green,OSGB36,434771,387080,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,,,,,true,,,,0.1,https://www.sheffield.gov.uk/in-your-area/toilets/devonshire-green.html,24 Hour,,,,,,S3 7SB,"Devonshire Green, Devonshire Street"
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Endcliffe Park,OSGB36,432826,385814,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,true,false,false,false,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/endcliffe-park.html,09:00-17:00,,,,,,S11 8RU,"Endcliffe New Toilet Block, Endcliffe Park"
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Exchange Street,OSGB36,435757,387627,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,,,,,true,,,,0.1,https://www.sheffield.gov.uk/in-your-area/toilets/exchange-street.html,24 Hour,,,,,,S1 2BD,Exchange Street
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Forge Dam,OSGB36,430301,384946,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,true,true,false,false,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/forge-dam.html,10:00-17:00,,,,,,S10 3BA,Forge Dam Public Toilets
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Glen Howe Park,OSGB36,429467,394287,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,,,,,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/glen-howe-park.html,sunrise-sunset,,,,,,S17 3EU,Glen Howe Park
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Graves Park,OSGB36,435567,382494,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,,true,false,false,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/graves-park.html,sunrise-sunset,,,,,,,Graves Park
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Hillsborough Park,OSGB36,433127,390268,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,true,,,,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/hillsborough-park.html,sunrise-sunset,,,,,,,Hillsborough Park
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Hillsborough Superloo,OSGB36,433181,389599,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,,,,,true,,,,,,,,,,,,S6,"Hillsborough Superloo, Holme Lane, Hillsborough"
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Millhouses Park,OSGB36,433289,382869,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,true,true,,,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/millhouses-park.html,sunrise-sunset,,,,,,S7 2QL,Millhouses Park
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Rivelin Valley Park,OSGB36,432149,388353,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,,true,true,false,false,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/rivelin-park.html,Park opening times,,,,,,S6 5GL,"Rivelin Valley Park Toilets, Rivelin Valley"
Sheffield,http://opendatacommunities.org/doc/metropolitan-district-council/sheffield,26/01/2015,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,Sheffield City Council,http://id.esd.org.uk/service/579,Public toilets,Whirlow Brook Park,OSGB36,430841,382781,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,,,,,,,,,,,0,https://www.sheffield.gov.uk/in-your-area/toilets/whirlow.html,Park opening times,,,,,,,Whirlow Brook Park
